Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
Christian McCaffrey,SFO,63,193,13,62.4%,34,68,11,60.7%,17,17,9,53.1%,All Christian McCaffrey red zone rushing plays,McCaCh01
Tony Pollard,DAL,60,164,5,58.3%,30,46,5,60.0%,13,12,3,54.2%,All Tony Pollard red zone rushing plays,PollTo00
Joe Mixon,CIN,56,141,9,77.8%,38,68,8,80.9%,18,19,6,81.8%,All Joe Mixon red zone rushing plays,MixoJo00
David Montgomery,DET,50,139,11,47.2%,31,56,11,50.8%,17,21,9,58.6%,All David Montgomery red zone rushing plays,MontDa01
Kyren Williams,LAR,50,190,11,61.0%,32,97,11,62.7%,13,27,8,59.1%,All Kyren Williams red zone rushing plays,WillKy02
Raheem Mostert,MIA,44,145,15,48.4%,33,69,13,56.9%,19,15,11,70.4%,All Raheem Mostert red zone rushing plays,MostRa00
Jalen Hurts,PHI,43,86,15,41.3%,29,28,14,43.3%,16,18,13,53.3%,All Jalen Hurts red zone rushing plays,HurtJa00
Najee Harris,PIT,42,110,8,59.2%,23,68,8,59.0%,7,11,4,43.8%,All Najee Harris red zone rushing plays,HarrNa00
Isiah Pacheco,KAN,42,145,6,58.3%,20,56,5,52.6%,9,3,5,50.0%,All Isiah Pacheco red zone rushing plays,PachIs00
Gus Edwards,BAL,39,101,13,36.4%,30,66,13,48.4%,19,31,12,63.3%,All Gus Edwards red zone rushing plays,EdwaGu00
Zack Moss,IND,39,109,4,42.9%,21,41,3,44.7%,9,10,3,34.6%,All Zack Moss red zone rushing plays,MossZa00
Kenneth Walker,SEA,38,76,7,55.1%,19,18,6,51.4%,13,8,5,76.5%,All Kenneth Walker red zone rushing plays,WalkKe00
Rachaad White,TAM,38,88,6,60.3%,19,28,6,76.0%,8,13,6,66.7%,All Rachaad White red zone rushing plays,WhitRa01
Saquon Barkley,NYG,37,74,6,57.8%,15,27,6,68.2%,6,7,4,100.0%,All Saquon Barkley red zone rushing plays,BarkSa00
