Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
Ezekiel Elliott,DAL,59,162,11,77.6%,31,57,11,77.5%,12,18,9,80.0%,All Ezekiel Elliott red zone rushing plays,ElliEz00
Christian McCaffrey,CAR,54,143,11,80.6%,32,62,10,80.0%,17,15,8,81.0%,All Christian McCaffrey red zone rushing plays,McCaCh01
Todd Gurley,LAR,51,139,12,63.0%,29,50,11,55.8%,12,12,6,54.5%,All Todd Gurley red zone rushing plays,GurlTo01
Nick Chubb,CLE,50,82,6,74.6%,32,12,4,74.4%,15,-14,2,78.9%,All Nick Chubb red zone rushing plays,ChubNi00
Dalvin Cook,MIN,43,114,12,47.8%,32,62,11,52.5%,15,22,9,62.5%,All Dalvin Cook red zone rushing plays,CookDa01
Leonard Fournette,JAX,43,58,3,69.4%,23,14,3,76.7%,8,-2,3,100.0%,All Leonard Fournette red zone rushing plays,FourLe00
Derrick Henry,TEN,42,144,13,76.4%,24,52,10,82.8%,10,10,7,83.3%,All Derrick Henry red zone rushing plays,HenrDe00
Josh Jacobs,OAK,41,131,7,65.1%,21,31,5,61.8%,10,14,5,52.6%,All Josh Jacobs red zone rushing plays,JacoJo01
Sony Michel,NWE,41,67,7,51.2%,27,38,6,50.0%,12,14,5,46.2%,All Sony Michel red zone rushing plays,MichSo00
Mark Ingram,BAL,40,130,10,38.5%,26,43,9,45.6%,15,14,8,53.6%,All Mark Ingram red zone rushing plays,IngrMa01
Joe Mixon,CIN,40,95,5,71.4%,25,38,5,75.8%,16,12,4,76.2%,All Joe Mixon red zone rushing plays,MixoJo00
Chris Carson,SEA,39,102,7,56.5%,20,24,6,55.6%,9,1,5,52.9%,All Chris Carson red zone rushing plays,CarsCh00
Aaron Jones,GNB,33,116,14,60.0%,19,37,11,61.3%,13,14,8,72.2%,All Aaron Jones red zone rushing plays,JoneAa00
David Montgomery,CHI,33,64,6,64.7%,23,36,5,69.7%,14,11,5,87.5%,All David Montgomery red zone rushing plays,MontDa01
Carlos Hyde,HOU,32,83,5,52.5%,16,30,5,53.3%,8,9,4,42.1%,All Carlos Hyde red zone rushing plays,HydeCa00
Marlon Mack,IND,32,91,7,44.4%,17,34,6,43.6%,8,4,3,42.1%,All Marlon Mack red zone rushing plays,MackMa00
Melvin Gordon,LAC,30,73,8,51.7%,20,32,7,55.6%,13,15,6,61.9%,All Melvin Gordon red zone rushing plays,GordMe00
Saquon Barkley,NYG,28,74,3,59.6%,16,33,3,53.3%,7,-1,1,53.8%,All Saquon Barkley red zone rushing plays,BarkSa00
Tevin Coleman,SFO,27,67,5,35.1%,15,15,3,37.5%,8,4,3,36.4%,All Tevin Coleman red zone rushing plays,ColeTe01
Phillip Lindsay,DEN,27,76,5,45.8%,12,25,5,41.4%,8,14,5,57.1%,All Phillip Lindsay red zone rushing plays,LindPh00
Lamar Jackson,BAL,26,93,5,25.0%,14,36,5,24.6%,5,4,3,17.9%,All Lamar Jackson red zone rushing plays,JackLa00
Alvin Kamara,NOR,26,94,4,37.7%,14,26,3,38.9%,7,7,3,53.8%,All Alvin Kamara red zone rushing plays,KamaAl00
Alexander Mattison,MIN,26,111,1,28.9%,14,40,1,23.0%,2,1,0,8.3%,All Alexander Mattison red zone rushing plays,MattAl01
Frank Gore,BUF,25,35,2,36.8%,18,4,2,54.5%,11,0,2,61.1%,All Frank Gore red zone rushing plays,GoreFr00
Miles Sanders,PHI,25,70,2,33.3%,14,27,2,35.0%,6,-1,2,28.6%,All Miles Sanders red zone rushing plays,SandMi01
Royce Freeman,DEN,24,66,3,40.7%,13,13,3,44.8%,4,6,3,28.6%,All Royce Freeman red zone rushing plays,FreeRo00
Latavius Murray,NOR,23,79,3,33.3%,14,42,3,38.9%,3,6,2,23.1%,All Latavius Murray red zone rushing plays,MurrLa00
Adrian Peterson,WAS,23,63,5,52.3%,11,19,4,52.4%,7,3,3,50.0%,All Adrian Peterson red zone rushing plays,PeteAd01
Peyton Barber,TAM,22,56,6,39.3%,13,17,4,36.1%,8,5,4,40.0%,All Peyton Barber red zone rushing plays,BarbPe01
Kenyan Drake,2TM,22,64,7,,13,27,6,,6,9,5,,All Kenyan Drake red zone rushing plays,DrakKe00
Jordan Howard,PHI,22,86,6,29.3%,12,25,5,30.0%,8,12,5,38.1%,All Jordan Howard red zone rushing plays,HowaJo00
Josh Allen,BUF,21,74,9,30.9%,11,39,8,33.3%,5,7,5,27.8%,All Josh Allen red zone rushing plays,AlleJo02
Gus Edwards,BAL,20,50,1,19.2%,10,5,0,17.5%,6,2,0,21.4%,All Gus Edwards red zone rushing plays,EdwaGu00
