player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Anthony Gordon,40119,QB,WASH STATE,13,79.8,645,692,7.2,2.76,9,28,3.9,71.2,493,0,173,4.3,740,22,282,341,62.5,81.1,81.8,49,4,16,770,4,11.6,108.4,2.7,20,27,4,30,48,27,3.5,5563,8
Joe Burrow,28022,QB,LSU,15,81.9,514,527,9.6,2.95,4,41,7.5,76.3,402,0,188,4.5,610,19,270,211,67,95,94.1,78.7,0,6,632,4,19.1,143.7,5.9,36,47,0,9,60,11,1.7,5668,10.8
Cole McDonald,38584,QB,HAWAII,14,72,496,511,12.4,2.53,6,29,5.5,63.8,326,0,114,8.7,558,31,203,180,58.5,80.7,76.5,73.4,1,14,581,1,17.5,99.1,3.6,20,27,0,8,33,29,5,4135,8.1
Bryce Perkins,35299,QB,VIRGINIA,14,71.2,462,498,9.6,2.88,2,14,2.7,64.5,321,0,221,2.4,597,8,194,335,44.6,64,58.5,70.2,4,12,629,3,21.3,90.1,7.9,47,51,1,29,22,29,4.6,3542,7.1
Shane Buechele,12659,QB,SMU,13,71.6,457,491,10,2.41,5,32,6.1,62.3,306,0,123,6.4,531,21,174,287,76.3,82.7,82.1,60.3,4,10,564,1,13,102.1,3,16,20,1,24,34,13,2.3,3949,8
Josh Love,34044,QB,S JOSE ST,12,71.6,454,481,11,2.36,6,28,5.5,60.9,293,0,145,9.8,501,32,168,285,74.9,88.8,87.3,58.8,10,8,533,2,9,95.1,2.6,13,5,0,11,22,15,2.8,3923,8.2
Brock Purdy,77672,QB,IOWA STATE,13,73.7,453,476,8.8,2.9,4,21,4.2,65.3,311,0,184,6.9,533,23,199,193,67,79.8,82.2,53.2,6,9,563,1,10.3,102.4,3.6,19,34,2,11,27,20,3.6,3975,8.4
Jordan Love,40306,QB,UTAH ST,13,70.6,452,474,9.9,2.72,5,32,6.4,62,294,0,145,7.8,524,25,156,329,32.3,75.3,76.8,52.6,8,17,550,1,15.9,82.8,4.4,23,27,0,9,20,26,4.7,3405,7.2
Chris Robison,60378,QB,FAU,14,73.7,429,473,9.3,2.74,10,13,2.6,61.5,291,0,139,7.9,526,25,178,165,76.6,78.6,80.3,51,1,6,559,2,18,100.5,4.8,25,25,0,33,28,16,2.9,3707,7.8
Kenny Pickett,60515,QB,PITTSBURGH,12,75.2,432,470,8.2,3.03,6,17,3.5,61.5,289,0,207,11.1,544,36,157,268,48.8,75,75.8,56.6,6,9,566,2,14,82,5.3,29,44,0,26,13,19,3.4,3095,6.6
Kaleb Barker,46494,QB,TROY,12,73.9,436,460,9,2.7,8,21,4.3,65,299,0,137,7.1,524,23,184,318,27.4,77.7,76.4,62.3,5,10,556,2,21.9,101.7,5.7,30,32,2,9,30,25,4.5,3621,7.9
Sam Ehlinger,60555,QB,TEXAS,13,73.7,434,456,10.2,3.01,4,33,6.8,64.9,296,0,150,7.5,556,24,201,311,79.7,90.1,86.9,72.6,4,10,585,4,21.3,103.8,5.8,32,63,1,13,32,14,2.4,3657,8
Holton Ahlers,77651,QB,E CAROLINA,12,68.8,414,441,9.2,2.7,8,22,4.6,59.6,263,0,195,7.7,480,22,160,156,62.5,73.6,71.4,66.2,7,10,518,3,10.3,89.9,4.2,20,18,0,12,21,22,4.2,3358,7.6
Josh Adkins,60483,QB,NEW MEX ST,12,74.5,416,440,7.2,2.54,6,19,4.2,62.7,276,0,172,11,503,34,129,242,63.8,70.5,74.5,47.1,1,15,518,3,16.9,75.2,5.8,29,32,0,17,14,16,3.1,2585,5.9
Brian Lewerke,34412,QB,MICH STATE,13,70.6,418,437,8.1,2.46,4,19,4.1,59.7,261,0,134,11.5,480,34,159,223,66.7,68.4,68.9,56.3,3,13,506,2,14.2,81.7,4,19,22,1,11,17,16,3.2,3070,7
Justin Herbert,28237,QB,OREGON,14,75.4,422,433,8.8,2.6,3,21,4.7,66.1,286,1,108,10.1,474,32,177,264,50.5,82.7,84.1,51.1,2,6,493,6,19.4,109.4,4.4,21,19,2,4,32,15,3,3470,8
Stephen Calvert,46556,QB,LIBERTY,13,66.7,414,433,10.8,2.64,6,24,5.3,57.5,249,0,156,9.8,468,27,168,206,48.1,72.6,76.2,28,2,7,492,6,15.4,100.6,5.1,24,11,1,10,28,20,4.1,3715,8.6
