Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
Jerry Jeudy,DEN,10,7,70.00%,35,1,15.40%,5,2,40.00%,-5,0,14.30%,All Jerry Jeudy red zone receiving plays
Diontae Johnson,PIT,10,5,50.00%,23,3,23.80%,4,3,75.00%,9,3,22.20%,All Diontae Johnson red zone receiving plays
Aaron Jones,GNB,10,7,70.00%,11,0,11.10%,2,1,50.00%,5,0,5.40%,All Aaron Jones red zone receiving plays
Zay Jones,JAX,10,5,50.00%,41,2,15.90%,5,2,40.00%,12,1,16.70%,All Zay Jones red zone receiving plays
K.J. Osborn,MIN,10,3,30.00%,20,2,12.70%,6,3,50.00%,20,2,12.80%,All K.J. Osborn red zone receiving plays
Cade Otton,TAM,10,7,70.00%,51,4,16.90%,3,2,66.67%,7,2,10.30%,All Cade Otton red zone receiving plays
Donald Parham,LAC,10,6,60.00%,35,4,13.70%,7,4,57.14%,10,3,15.90%,All Donald Parham red zone receiving plays
Josh Reynolds,DET,10,4,40.00%,25,4,15.40%,6,3,50.00%,13,3,17.10%,All Josh Reynolds red zone receiving plays
Bijan Robinson,ATL,10,6,60.00%,37,2,18.50%,6,2,33.33%,9,1,21.40%,All Bijan Robinson red zone receiving plays
Jaxon Smith-Njigba,SEA,10,4,40.00%,37,2,15.40%,5,1,20.00%,9,1,20.80%,All Jaxon Smith-Njigba red zone receiving plays
Robert Woods,HOU,10,3,30.00%,23,1,14.70%,4,1,25.00%,6,1,11.10%,All Robert Woods red zone receiving plays
Brandon Aiyuk,SFO,9,6,66.67%,70,5,12.90%,4,2,50.00%,10,2,15.40%,All Brandon Aiyuk red zone receiving plays
Marquise Brown,ARI,9,5,55.56%,19,3,15.50%,4,3,75.00%,6,3,15.40%,All Marquise Brown red zone receiving plays
Tyler Conklin,NYJ,9,4,44.44%,18,0,18.40%,8,4,50.00%,18,0,25.80%,All Tyler Conklin red zone receiving plays
Josh Downs,IND,9,4,44.44%,29,1,15.30%,5,2,40.00%,5,1,20.00%,All Josh Downs red zone receiving plays
Austin Ekeler,LAC,9,6,66.67%,12,0,12.30%,2,1,50.00%,2,0,4.50%,All Austin Ekeler red zone receiving plays
Evan Engram,JAX,9,6,66.67%,33,3,14.30%,4,2,50.00%,12,2,13.30%,All Evan Engram red zone receiving plays
Tee Higgins,CIN,9,4,44.44%,32,3,12.20%,4,2,50.00%,7,2,10.80%,All Tee Higgins red zone receiving plays
Dalton Kincaid,BUF,9,5,55.56%,27,0,14.50%,4,2,50.00%,7,0,14.80%,All Dalton Kincaid red zone receiving plays
Josh Palmer,LAC,9,3,33.33%,15,0,12.30%,5,1,20.00%,3,0,11.40%,All Josh Palmer red zone receiving plays
Demarcus Robinson,LAR,9,4,44.44%,17,3,12.30%,7,4,57.14%,17,3,17.10%,All Demarcus Robinson red zone receiving plays
Jonnu Smith,ATL,9,6,66.67%,46,2,16.70%,5,3,60.00%,9,1,17.90%,All Jonnu Smith red zone receiving plays
Logan Thomas,WAS,9,4,44.44%,28,4,14.10%,6,3,50.00%,13,3,17.10%,All Logan Thomas red zone receiving plays
Michael Thomas,NOR,9,2,22.22%,21,1,13.80%,5,0,0.00%,0,0,15.20%,All Michael Thomas red zone receiving plays
Tank Dell,HOU,8,5,62.50%,44,3,11.80%,3,2,66.67%,13,2,8.30%,All Tank Dell red zone receiving plays
Quentin Johnston,LAC,8,4,50.00%,17,2,11.00%,4,2,50.00%,7,2,9.10%,All Quentin Johnston red zone receiving plays
Alvin Kamara,NOR,8,8,100.00%,47,1,12.30%,1,1,100.00%,5,0,3.00%,All Alvin Kamara red zone receiving plays
Dawson Knox,BUF,8,3,37.50%,10,2,12.90%,5,3,60.00%,10,2,18.50%,All Dawson Knox red zone receiving plays
Terry McLaurin,WAS,8,5,62.50%,31,1,12.50%,3,1,33.33%,3,1,8.60%,All Terry McLaurin red zone receiving plays
Isiah Pacheco,KAN,8,7,87.50%,41,2,9.10%,5,4,80.00%,15,2,10.40%,All Isiah Pacheco red zone receiving plays
Colby Parkinson,SEA,8,4,50.00%,12,1,12.30%,4,2,50.00%,4,1,16.70%,All Colby Parkinson red zone receiving plays
George Pickens,PIT,8,3,37.50%,16,0,19.00%,3,1,33.33%,2,0,16.70%,All George Pickens red zone receiving plays
Jaylen Waddle,MIA,8,3,37.50%,20,2,11.90%,6,2,33.33%,6,2,13.60%,All Jaylen Waddle red zone receiving plays
Rachaad White,TAM,8,7,87.50%,38,0,13.60%,3,2,66.67%,11,0,10.30%,All Rachaad White red zone receiving plays
Dontayvion Wicks,GNB,8,4,50.00%,36,2,8.90%,2,1,50.00%,10,1,5.40%,All Dontayvion Wicks red zone receiving plays
Nelson Agholor,BAL,7,6,85.71%,43,3,10.90%,2,1,50.00%,6,1,6.50%,All Nelson Agholor red zone receiving plays
Tyler Boyd,CIN,7,3,42.86%,21,2,9.50%,4,3,75.00%,21,2,10.80%,All Tyler Boyd red zone receiving plays
Noah Brown,HOU,7,2,28.57%,12,1,10.30%,5,1,20.00%,3,1,13.90%,All Noah Brown red zone receiving plays
Zach Ertz,ARI,7,3,42.86%,17,1,12.10%,2,2,100.00%,9,1,7.70%,All Zach Ertz red zone receiving plays
Jahmyr Gibbs,DET,7,4,57.14%,26,1,10.80%,5,2,40.00%,14,1,14.30%,All Jahmyr Gibbs red zone receiving plays
Juwan Johnson,NOR,7,6,85.71%,35,3,10.80%,3,3,100.00%,12,3,9.10%,All Juwan Johnson red zone receiving plays
Tucker Kraft,GNB,7,4,57.14%,21,2,7.80%,3,3,100.00%,22,2,8.10%,All Tucker Kraft red zone receiving plays
Isaiah Likely,BAL,7,6,85.71%,48,2,10.90%,3,3,100.00%,16,1,9.70%,All Isaiah Likely red zone receiving plays
Michael Mayer,LVR,7,5,71.43%,46,2,9.90%,2,2,100.00%,14,1,5.70%,All Michael Mayer red zone receiving plays
Darnell Mooney,CHI,7,1,14.29%,-1,0,12.50%,5,1,20.00%,-1,0,19.20%,All Darnell Mooney red zone receiving plays
Skyy Moore,KAN,7,3,42.86%,20,1,8.00%,2,1,50.00%,9,1,4.20%,All Skyy Moore red zone receiving plays
Rashid Shaheed,NOR,7,3,42.86%,34,1,10.80%,2,0,0.00%,0,0,6.10%,All Rashid Shaheed red zone receiving plays
Sterling Shepard,NYG,7,2,28.57%,6,1,21.20%,3,1,33.33%,2,1,25.00%,All Sterling Shepard red zone receiving plays
Cedric Tillman,CLE,7,2,28.57%,21,0,10.90%,2,0,0.00%,0,0,6.90%,All Cedric Tillman red zone receiving plays
Michael Wilson,ARI,7,4,57.14%,43,3,12.10%,4,2,50.00%,13,2,15.40%,All Michael Wilson red zone receiving plays
De'Von Achane,MIA,6,5,83.33%,33,3,9.00%,5,4,80.00%,22,3,11.40%,All De'Von Achane red zone receiving plays
Kendrick Bourne,NWE,6,6,100.00%,45,3,16.70%,3,3,100.00%,8,1,23.10%,All Kendrick Bourne red zone receiving plays
DJ Chark,CAR,6,4,66.67%,44,4,16.70%,3,2,66.67%,15,2,13.60%,All DJ Chark red zone receiving plays
James Cook,BUF,6,4,66.67%,32,3,9.70%,3,2,66.67%,13,2,11.10%,All James Cook red zone receiving plays
Jerome Ford,CLE,6,5,83.33%,32,3,9.40%,2,2,100.00%,10,2,6.90%,All Jerome Ford red zone receiving plays
Pat Freiermuth,PIT,6,3,50.00%,24,2,14.30%,2,1,50.00%,3,1,11.10%,All Pat Freiermuth red zone receiving plays
Mike Gesicki,NWE,6,3,50.00%,20,2,16.70%,2,1,50.00%,1,1,15.40%,All Mike Gesicki red zone receiving plays
Hunter Henry,NWE,6,5,83.33%,53,5,16.70%,4,3,75.00%,23,3,30.80%,All Hunter Henry red zone receiving plays
Trenton Irwin,CIN,6,4,66.67%,19,0,8.10%,4,2,50.00%,0,0,10.80%,All Trenton Irwin red zone receiving plays
Josh Jacobs,LVR,6,4,66.67%,18,0,8.50%,3,1,33.33%,0,0,8.60%,All Josh Jacobs red zone receiving plays
Brandon Johnson,DEN,6,4,66.67%,34,2,9.20%,3,1,33.33%,4,1,8.60%,All Brandon Johnson red zone receiving plays
Raheem Mostert,MIA,6,6,100.00%,36,3,9.00%,3,3,100.00%,12,2,6.80%,All Raheem Mostert red zone receiving plays
Chigoziem Okonkwo,TEN,6,3,50.00%,19,1,12.80%,3,0,0.00%,0,0,13.00%,All Chigoziem Okonkwo red zone receiving plays
Alec Pierce,IND,6,0,0.00%,0,0,10.20%,2,0,0.00%,0,0,8.00%,All Alec Pierce red zone receiving plays
Brandon Powell,MIN,6,4,66.67%,23,1,7.60%,4,2,50.00%,7,1,8.50%,All Brandon Powell red zone receiving plays
DeVonta Smith,PHI,6,4,66.67%,27,3,12.20%,4,2,50.00%,7,2,23.50%,All DeVonta Smith red zone receiving plays
Tyjae Spears,TEN,6,3,50.00%,12,0,12.80%,2,1,50.00%,5,0,8.70%,All Tyjae Spears red zone receiving plays
KaVontae Turpin,DAL,6,5,83.33%,31,1,5.80%,3,3,100.00%,14,1,5.90%,All KaVontae Turpin red zone receiving plays
Justin Watson,KAN,6,3,50.00%,13,3,6.80%,4,3,75.00%,13,3,8.30%,All Justin Watson red zone receiving plays
Nick Westbrook-Ikhine,TEN,6,3,50.00%,20,2,12.80%,2,1,50.00%,4,1,8.70%,All Nick Westbrook-Ikhine red zone receiving plays
Salvon Ahmed,MIA,5,5,100.00%,33,1,7.50%,1,1,100.00%,0,0,2.30%,All Salvon Ahmed red zone receiving plays
Tutu Atwell,LAR,5,3,60.00%,7,2,6.80%,4,2,50.00%,4,2,9.80%,All Tutu Atwell red zone receiving plays
Saquon Barkley,NYG,5,4,80.00%,11,2,15.20%,3,2,66.67%,14,2,25.00%,All Saquon Barkley red zone receiving plays
Harrison Bryant,CLE,5,4,80.00%,18,3,7.80%,3,3,100.00%,13,3,10.30%,All Harrison Bryant red zone receiving plays
James Conner,ARI,5,4,80.00%,29,2,8.60%,1,1,100.00%,5,1,3.80%,All James Conner red zone receiving plays
Clyde Edwards-Helaire,KAN,5,3,60.00%,9,1,5.70%,5,3,60.00%,9,1,10.40%,All Clyde Edwards-Helaire red zone receiving plays
Antonio Gibson,WAS,5,4,80.00%,26,2,7.80%,1,1,100.00%,1,1,2.90%,All Antonio Gibson red zone receiving plays
Xavier Gipson,NYJ,5,3,60.00%,13,0,10.20%,3,2,66.67%,9,0,9.70%,All Xavier Gipson red zone receiving plays
Jimmy Graham,NOR,5,5,100.00%,31,4,7.70%,4,4,100.00%,19,4,12.10%,All Jimmy Graham red zone receiving plays
Kylen Granson,IND,5,3,60.00%,11,1,8.50%,4,2,50.00%,5,1,16.00%,All Kylen Granson red zone receiving plays
Breece Hall,NYJ,5,4,80.00%,31,2,10.20%,3,2,66.67%,12,2,9.70%,All Breece Hall red zone receiving plays
Tyler Higbee,LAR,5,3,60.00%,24,2,6.80%,4,2,50.00%,12,2,9.80%,All Tyler Higbee red zone receiving plays
Isaiah Hodgins,NYG,5,3,60.00%,31,3,15.20%,2,1,50.00%,8,1,16.70%,All Isaiah Hodgins red zone receiving plays
Andrei Iosivas,CIN,5,4,80.00%,15,4,6.80%,4,4,100.00%,15,4,10.80%,All Andrei Iosivas red zone receiving plays
Kyle Juszczyk,SFO,5,5,100.00%,28,1,7.10%,2,2,100.00%,10,1,7.70%,All Kyle Juszczyk red zone receiving plays
Christian Kirk,JAX,5,2,40.00%,8,0,7.90%,2,1,50.00%,2,0,6.70%,All Christian Kirk red zone receiving plays
Jerick McKinnon,KAN,5,5,100.00%,40,4,5.70%,3,3,100.00%,17,3,6.30%,All Jerick McKinnon red zone receiving plays
Jaleel McLaughlin,DEN,5,5,100.00%,28,1,7.70%,1,1,100.00%,8,0,2.90%,All Jaleel McLaughlin red zone receiving plays
Rondale Moore,ARI,5,4,80.00%,20,0,8.60%,1,0,0.00%,0,0,3.80%,All Rondale Moore red zone receiving plays
Zack Moss,IND,5,4,80.00%,37,2,8.50%,2,1,50.00%,1,0,8.00%,All Zack Moss red zone receiving plays
Luke Musgrave,GNB,5,2,40.00%,11,0,5.60%,1,0,0.00%,0,0,2.70%,All Luke Musgrave red zone receiving plays
Josh Oliver,MIN,5,4,80.00%,19,2,6.30%,3,2,66.67%,7,2,6.40%,All Josh Oliver red zone receiving plays
Kyle Pitts,ATL,5,3,60.00%,14,1,9.30%,3,2,66.67%,12,1,10.70%,All Kyle Pitts red zone receiving plays
Brian Robinson,WAS,5,5,100.00%,3,2,7.80%,2,2,100.00%,8,2,5.70%,All Brian Robinson red zone receiving plays
Luke Schoonmaker,DAL,5,3,60.00%,19,2,4.80%,3,2,66.67%,1,1,5.90%,All Luke Schoonmaker red zone receiving plays
Tyler Scott,CHI,5,3,60.00%,16,0,8.90%,3,1,33.33%,-1,0,11.50%,All Tyler Scott red zone receiving plays
Irv Smith,CIN,5,4,80.00%,25,1,6.80%,4,3,75.00%,14,1,10.80%,All Irv Smith red zone receiving plays
Kadarius Toney,KAN,5,3,60.00%,6,1,5.70%,3,3,100.00%,6,1,6.30%,All Kadarius Toney red zone receiving plays
Jaylen Warren,PIT,5,5,100.00%,16,0,11.90%,2,2,100.00%,1,0,11.10%,All Jaylen Warren red zone receiving plays
Josh Whyle,TEN,5,2,40.00%,12,1,10.60%,2,1,50.00%,2,1,8.70%,All Josh Whyle red zone receiving plays
Cedrick Wilson,MIA,5,2,40.00%,9,2,7.50%,4,2,50.00%,9,2,9.10%,All Cedrick Wilson red zone receiving plays
Andrew Beck,HOU,4,3,75.00%,1,2,5.90%,3,3,100.00%,1,2,8.30%,All Andrew Beck red zone receiving plays
Jake Bobo,SEA,4,2,50.00%,23,2,6.20%,1,1,100.00%,5,1,4.20%,All Jake Bobo red zone receiving plays
Parris Campbell,NYG,4,2,50.00%,5,0,12.10%,1,0,0.00%,0,0,8.30%,All Parris Campbell red zone receiving plays
Michael Carter,2TM,4,2,50.00%,7,1,,2,2,100.00%,7,1,,All Michael Carter red zone receiving plays
Randall Cobb,NYJ,4,3,75.00%,31,1,8.20%,0,0,,0,0,0.00%,All Randall Cobb red zone receiving plays
River Cracraft,MIA,4,2,50.00%,4,1,6.00%,4,2,50.00%,4,1,9.10%,All River Cracraft red zone receiving plays
Demario Douglas,NWE,4,2,50.00%,5,0,11.10%,2,0,0.00%,0,0,15.40%,All Demario Douglas red zone receiving plays
Rico Dowdle,DAL,4,3,75.00%,28,2,3.80%,0,0,,0,0,0.00%,All Rico Dowdle red zone receiving plays
Ezekiel Elliott,NWE,4,3,75.00%,32,2,11.10%,0,0,,0,0,0.00%,All Ezekiel Elliott red zone receiving plays
Michael Gallup,DAL,4,1,25.00%,1,1,3.80%,1,1,100.00%,1,1,2.00%,All Michael Gallup red zone receiving plays
Malik Heath,GNB,4,2,50.00%,9,1,4.40%,2,1,50.00%,6,1,5.40%,All Malik Heath red zone receiving plays
Khalil Herbert,CHI,4,2,50.00%,7,1,7.10%,2,2,100.00%,7,1,7.70%,All Khalil Herbert red zone receiving plays
Taysom Hill,NOR,4,1,25.00%,2,1,6.20%,3,1,33.33%,2,1,9.10%,All Taysom Hill red zone receiving plays
Lil'Jordan Humphrey,DEN,4,4,100.00%,17,2,6.20%,2,2,100.00%,8,2,5.70%,All Lil'Jordan Humphrey red zone receiving plays
Roschon Johnson,CHI,4,3,75.00%,15,0,7.10%,1,1,100.00%,1,0,3.80%,All Roschon Johnson red zone receiving plays
Julio Jones,PHI,4,3,75.00%,26,2,8.20%,1,1,100.00%,8,1,5.90%,All Julio Jones red zone receiving plays
Foster Moreau,NOR,4,3,75.00%,13,1,6.20%,3,2,66.67%,7,1,9.10%,All Foster Moreau red zone receiving plays
Johnny Mundt,MIN,4,2,50.00%,14,1,5.10%,3,2,66.67%,14,1,6.40%,All Johnny Mundt red zone receiving plays
A.T. Perry,NOR,4,3,75.00%,39,3,6.20%,2,1,50.00%,6,1,6.10%,All A.T. Perry red zone receiving plays
Kalif Raymond,DET,4,3,75.00%,25,0,6.20%,0,0,,0,0,0.00%,All Kalif Raymond red zone receiving plays
Allen Robinson,PIT,4,1,25.00%,-1,0,9.50%,3,1,33.33%,-1,0,16.70%,All Allen Robinson red zone receiving plays
Devin Singletary,HOU,4,3,75.00%,15,0,5.90%,2,1,50.00%,4,0,5.60%,All Devin Singletary red zone receiving plays
Darius Slayton,NYG,4,2,50.00%,28,1,12.10%,0,0,,0,0,0.00%,All Darius Slayton red zone receiving plays
Durham Smythe,MIA,4,2,50.00%,14,0,6.00%,3,1,33.33%,7,0,6.80%,All Durham Smythe red zone receiving plays
Rhamondre Stevenson,NWE,4,3,75.00%,25,0,11.10%,0,0,,0,0,0.00%,All Rhamondre Stevenson red zone receiving plays
Brenton Strange,JAX,4,3,75.00%,28,1,6.30%,3,2,66.67%,11,1,10.00%,All Brenton Strange red zone receiving plays
D'Andre Swift,PHI,4,4,100.00%,16,1,8.20%,1,1,100.00%,9,1,5.90%,All D'Andre Swift red zone receiving plays
Jonathan Taylor,IND,4,3,75.00%,18,1,6.80%,3,2,66.67%,12,1,12.00%,All Jonathan Taylor red zone receiving plays
Deven Thompkins,TAM,4,2,50.00%,10,1,6.80%,1,1,100.00%,5,1,3.40%,All Deven Thompkins red zone receiving plays
Jalen Tolbert,DAL,4,3,75.00%,8,2,3.80%,2,2,100.00%,10,2,3.90%,All Jalen Tolbert red zone receiving plays
Tommy Tremble,CAR,4,4,100.00%,6,3,11.10%,3,3,100.00%,6,3,13.60%,All Tommy Tremble red zone receiving plays
Cole Turner,WAS,4,2,50.00%,17,0,6.30%,3,1,33.33%,5,0,8.60%,All Cole Turner red zone receiving plays
C.J. Uzomah,NYJ,4,2,50.00%,6,1,8.20%,2,1,50.00%,1,1,6.50%,All C.J. Uzomah red zone receiving plays
Darren Waller,NYG,4,3,75.00%,31,1,12.10%,1,0,0.00%,0,0,8.30%,All Darren Waller red zone receiving plays
Ameer Abdullah,LVR,3,2,66.67%,8,0,4.20%,2,1,50.00%,1,0,5.70%,All Ameer Abdullah red zone receiving plays
Mo Alie-Cox,IND,3,2,66.67%,20,2,5.10%,1,1,100.00%,2,1,4.00%,All Mo Alie-Cox red zone receiving plays
John Bates,WAS,3,1,33.33%,0,0,4.70%,3,1,33.33%,0,0,8.60%,All John Bates red zone receiving plays
Rashod Bateman,BAL,3,1,33.33%,10,1,4.70%,3,1,33.33%,10,1,9.70%,All Rashod Bateman red zone receiving plays
Ronnie Bell,SFO,3,3,100.00%,26,3,4.30%,2,2,100.00%,14,2,7.70%,All Ronnie Bell red zone receiving plays
Ty Chandler,MIN,3,3,100.00%,22,0,3.80%,2,2,100.00%,6,0,4.30%,All Ty Chandler red zone receiving plays
Greg Dortch,ARI,3,2,66.67%,11,1,5.20%,2,1,50.00%,6,1,7.70%,All Greg Dortch red zone receiving plays
Tyler Goodson,IND,3,1,33.33%,7,0,5.10%,1,1,100.00%,7,0,4.00%,All Tyler Goodson red zone receiving plays
Noah Gray,KAN,3,1,33.33%,2,1,3.40%,2,1,50.00%,2,1,4.20%,All Noah Gray red zone receiving plays
Jalen Guyton,LAC,3,2,66.67%,26,1,4.10%,1,0,0.00%,0,0,2.30%,All Jalen Guyton red zone receiving plays
