player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Lamar Jackson,46416,QB,BLT,16,77.6,425,457,9.1,3.17,9,24,4.9,67.2,307,2,203,7,558,23,189,3,43.6,90.4,85.1,86.8,7,7,599,10,18.2,102.7,6.6,37,63,1,15,24,15,2.5,3678,8
Justin Herbert,28237,QB,LAC,13,74.7,427,456,8.2,2.79,7,24,5,65.1,297,1,186,6.9,520,22,163,27,66.7,85.5,83.1,73.2,8,7,552,5,15.6,93.2,5.6,29,32,0,14,20,13,2.4,3134,6.9
Russell Wilson,7077,QB,DEN,15,78.8,400,447,7.8,3.07,11,27,5.6,66.4,297,0,218,5.7,530,18,150,10,28.9,77.5,72.5,80.3,5,8,568,2,20.6,98,8.5,45,36,4,27,26,17,3,3075,6.9
Brock Purdy,77672,QB,SF,16,78.3,411,444,8.6,2.71,9,27,5.8,69.4,308,0,192,4.3,498,14,199,28,62.9,88.4,83.6,90.6,3,11,525,5,14.6,113,5.6,28,17,3,18,31,18,3.4,4280,9.6
Joshua Dobbs,11890,QB,MIN,13,72.1,390,417,8,3.03,6,12,2.7,62.8,262,1,185,6.8,485,19,143,18,49.8,65.9,59.9,82.2,6,10,524,5,16.2,79.5,6.2,30,35,0,15,13,23,4.4,2464,5.9
Desmond Ridder,55086,QB,ATL,15,72.7,363,388,8.5,2.68,8,13,3.2,64.2,249,0,139,5.7,439,15,146,2,27.6,51.9,53.2,48.8,0,12,464,5,22.3,83.4,7.1,31,19,2,15,12,26,5.6,2836,7.3
Justin Fields,82118,QB,CHI,13,74.4,324,370,8.8,3.39,10,21,5.5,61.4,227,0,223,5.8,457,14,141,6,33.8,74.6,67.2,84.9,7,9,478,5,19.3,86.3,9.4,43,43,0,29,16,16,3.3,2562,6.9
Zach Wilson,82096,QB,NYJ,12,72.5,331,368,7.9,2.92,7,10,2.6,60.1,221,0,189,7.9,439,19,110,22,30.8,58.2,57.2,60.9,6,7,463,2,24.3,77.2,10.5,46,25,3,21,8,12,2.6,2271,6.2
Joe Burrow,28022,QB,CIN,10,76.8,340,365,6.9,2.47,6,17,4.4,66.8,244,0,123,6.5,403,17,122,7,87,77.9,76.8,68.8,6,6,422,5,19.5,91,6,24,14,1,12,15,9,2.1,2309,6.3
Mac Jones,60323,QB,NE,11,72.3,328,345,7.4,2.42,5,11,3.1,64.9,224,0,119,5.5,379,13,104,19,53.8,52.2,52.2,61.3,4,12,395,4,18.5,77,5.8,22,12,0,8,10,23,5.8,2120,6.1
Aidan O'Connell,60516,QB,LV,11,74,315,343,8,2.62,8,12,3.4,62.1,213,0,122,8.6,370,20,107,23,72.1,65.9,64.6,61.6,3,7,380,2,19.7,83.9,6.5,24,0,1,16,12,10,2.6,2218,6.5
Kenny Pickett,60515,QB,PIT,12,71.8,298,324,7.5,2.73,8,13,3.8,62,201,0,136,6.1,363,13,96,25,91.3,70.6,68.8,66.7,3,4,386,2,16.9,81.4,6.3,23,14,1,14,6,7,1.8,2070,6.4
Kirk Cousins,7102,QB,MIN,8,80.5,293,311,7.7,2.69,1,10,3,69.5,216,0,108,8.5,331,20,112,18,46.2,86.1,85.1,64.8,7,5,353,6,15.7,103.8,5.1,17,3,2,8,18,8,2.3,2331,7.5
Kyler Murray,38334,QB,ARZ,8,73.5,253,268,7.5,2.8,9,8,2.8,65.7,176,1,95,5.4,304,10,96,1,59.7,70.8,67.6,77.8,2,5,326,5,18.9,89.5,5.9,18,16,1,3,10,6,1.8,1800,6.7
Will Levis,83542,QB,TEN,9,69.1,236,255,11.1,2.76,6,16,5.9,58.4,149,0,130,8.6,292,14,85,31,68.9,63.7,61.6,67.4,6,4,310,1,21.5,84.2,9.6,28,9,2,5,8,14,4.5,1808,7.1
Jake Browning,46401,QB,CIN,9,79.3,227,244,6.6,2.84,7,9,3.5,70.1,171,0,102,5,284,9,100,7,54.6,79.3,74.4,87.8,3,7,298,8,23.5,98,8.5,24,16,0,7,12,11,3.7,1936,7.9
Ryan Tannehill,7014,QB,TEN,9,76.1,213,230,8.4,2.67,5,10,4,64.8,149,0,106,8,271,13,77,31,70.5,68.7,66.3,69.7,3,7,291,1,30.2,78.5,11.8,32,9,2,7,4,11,3.8,1616,7
Bailey Zappe,60396,QB,NE,10,68.7,198,212,8.1,2.75,4,10,4.6,59.9,127,0,103,6.6,247,9,57,19,62.2,52.2,51.1,63.3,0,9,253,1,24.3,68.8,10.1,25,10,1,9,6,10,4,1272,6
Joe Flacco,4332,QB,CLV,5,70.4,189,204,9.5,2.78,1,10,4.7,60.3,123,0,67,7.5,213,10,60,8,59,74.2,72.3,65.4,2,8,224,1,11.9,90.2,3.8,8,0,0,12,13,8,3.6,1616,7.9
Tyrod Taylor,6332,QB,NYG,10,76.7,163,180,9.1,2.83,1,17,8.9,64.4,116,0,87,7.2,224,9,57,21,44.1,71.4,73.4,54.5,0,3,242,0,19.5,89.1,7.6,17,26,6,10,5,3,1.2,1341,7.5
Tommy DeVito,60545,QB,NYG,9,78.3,161,178,6.6,3.09,4,4,2.2,64,114,0,99,9.5,237,12,48,21,77.3,62,64.4,50.9,1,3,243,3,37.4,89.2,15.6,37,22,0,12,8,5,2.1,1101,6.2
Easton Stick,29466,QB,LAC,5,70.9,165,174,7.5,2.76,2,5,2.7,63.8,111,0,62,5.1,198,6,58,27,29.2,66.8,61.8,79.9,2,1,208,1,22.6,85.7,7.1,14,9,1,4,3,7,3.4,1132,6.5
Deshaun Watson,11767,QB,CLV,6,73.1,156,170,9,3.12,2,6,3.3,61.8,105,0,76,7.9,204,9,58,8,38.5,67.3,66.8,63.4,3,4,218,3,21.1,84.8,7.8,16,18,1,8,7,5,2.3,1115,6.6
Jimmy Garoppolo,8697,QB,LV,7,74.2,159,169,8.8,2.84,5,2,1.1,65.1,110,0,58,6.8,191,8,63,23,74.1,65,65,58.8,1,9,203,1,24.1,77.7,7.3,14,8,1,3,7,6,3,1205,7.1
Daniel Jones,39395,QB,NYG,6,75.2,149,160,6.9,2.85,3,4,2.4,67.5,108,0,95,3.6,209,4,51,21,45.3,63,54.4,82.2,2,6,220,0,31.6,70.5,14.4,30,19,0,6,2,9,4.1,909,5.7
Trevor Siemian,9683,QB,NYJ,5,63.8,138,153,6.2,2.48,4,4,2.5,56.2,86,0,57,2.3,167,2,37,22,31.5,34.9,37.4,49.4,2,4,177,4,14,62.1,4.8,8,6,0,9,2,7,4,725,4.7
Nick Mullens,12282,QB,MIN,5,74.5,137,148,10.5,2.92,2,8,5.2,67.6,100,0,67,2,165,2,59,18,49.7,57.7,59.5,59.9,4,8,172,5,17.9,88.4,7.3,12,5,1,4,7,12,7,1306,8.8
Tyson Bagent,169628,QB,CHI,5,76.3,131,143,6.5,2.91,3,2,1.3,65.7,94,0,53,6,159,6,55,6,50.5,57.7,50.8,81.2,3,6,166,0,9.4,71.4,3.1,5,11,0,6,3,11,6.6,859,6
Taylor Heinicke,9896,QB,ATL,5,64.5,121,136,8.6,2.99,2,4,2.9,54.4,74,0,44,5.1,157,4,46,2,67.2,52.5,48.5,70.7,2,4,161,0,18.2,74.7,5.1,8,13,2,9,5,9,5.6,890,6.5
Dorian Thompson-Robinson,83574,QB,CLV,6,68,100,112,6.1,2.67,3,0,0,53.6,60,0,39,11.8,123,8,27,8,36,49.3,49.4,58.4,2,4,132,1,15.4,51.2,4.9,6,5,2,5,1,6,4.5,440,3.9
P.J. Walker,12134,QB,CLV,5,59.4,101,111,8.7,2.79,2,4,3.4,48.6,54,0,52,10,126,6,28,8,26.9,29.7,28.8,63.3,2,5,135,1,21.2,52.2,8.7,11,4,1,5,1,11,8.1,674,6.1
Mitch Trubisky,11757,QB,PIT,5,68.6,102,107,9.1,2.78,0,1,0.9,62.6,67,0,49,4.3,122,3,38,25,64.6,43.3,44.2,51,3,5,132,0,14.3,71.9,5.7,7,8,1,1,4,7,5.3,632,5.9
Anthony Richardson,124393,QB,IND,4,71.1,76,84,8,2.86,3,3,3.3,59.5,50,0,31,7.4,98,4,33,14,23.6,52.2,56.5,45.3,2,1,107,1,22.6,87.3,7.1,7,7,0,3,3,4,3.7,577,6.9
Tim Boyle,21956,QB,NYJ,3,72.2,72,77,6.2,2.48,1,2,2.5,62.3,48,0,32,7.7,86,4,16,22,84.4,64.1,61.2,73.5,0,4,89,0,28.1,56.2,10.5,9,0,0,4,1,3,3.4,360,4.7
Drew Lock,39517,QB,SEA,4,75,72,76,8.5,2.56,3,2,2.5,63.2,48,0,31,11.1,85,6,20,29,52.5,61.3,62.2,56.4,0,3,91,3,19.4,81.2,7.1,6,3,0,1,3,5,5.5,543,7.1
Mason Rudolph,46569,QB,PIT,4,80.9,68,74,7.2,2.53,1,4,5.3,74.3,55,0,32,0,83,0,27,25,28.5,65.5,65.8,58.6,0,0,85,1,18.8,118,7.2,6,2,0,5,3,3,3.5,719,9.7
Jarrett Stidham,13725,QB,DEN,2,70.5,61,66,7.7,2.76,0,0,0,60.6,40,0,28,7,77,3,19,10,51.9,55.5,58.5,45,1,1,81,1,25,87.7,9.1,7,3,0,4,2,1,1.2,496,7.5
Andy Dalton,6187,QB,CAR,1,71.7,53,58,7.7,2.33,1,4,6.5,58.6,34,0,27,10.5,63,4,18,5,82.5,81.1,79.1,64.2,3,0,67,0,11.1,88.4,4.8,3,1,0,1,2,1,1.5,361,6.2
C.J. Beathard,11859,QB,JAX,5,85.7,49,53,6.2,2.56,1,1,1.8,75.5,40,0,20,4.8,63,2,21,15,45.5,71.5,74.6,46.9,0,0,68,0,30,98.7,9.5,6,4,0,3,1,2,2.9,349,6.6
Case Keenum,7323,QB,HST,2,68.6,51,53,7.9,2.73,0,0,0,64.2,34,0,19,2.9,59,1,14,13,82.5,44.8,45.6,54,0,3,68,1,31.6,61.1,10.2,6,0,0,2,1,4,5.9,291,5.5
Jameis Winston,9434,QB,NO,4,60,45,47,12.7,2.41,0,3,6,53.2,25,0,15,7.4,49,2,10,20,81.5,56.3,55.8,61.3,0,3,52,1,13.3,57.4,4.1,2,0,0,2,2,3,5.8,264,5.6
Sam Darnold,29048,QB,SF,6,69.8,43,46,8.7,2.73,0,1,2,60.9,28,0,25,6.7,55,2,16,28,22.9,66,66.5,57.8,1,1,59,1,24,85.1,10.9,6,3,1,1,2,2,3.4,297,6.5
Brian Hoyer,5277,QB,LV,2,59.5,42,42,8.5,2.26,0,3,6.5,54.8,23,0,5,8,43,2,14,23,80.6,55.2,54.6,60.5,0,2,47,0,20,50.8,2.3,1,0,0,0,0,1,2.1,231,5.5
Davis Mills,52269,QB,HST,5,59.5,37,39,8.2,2.71,1,0,0,46.2,18,0,17,18.2,42,4,12,13,79.8,47.5,46,67.6,0,0,44,0,11.8,76.1,4.8,2,1,0,1,2,4,9.1,173,4.4
Brett Rypien,46487,QB,NYJ,2,58.8,34,38,8.7,2.74,3,0,0,47.4,18,1,14,10,44,2,9,22,22.4,48.1,48,70.7,0,1,47,3,14.3,49.5,4.5,2,3,0,1,0,3,6.4,172,4.5
Tyler Huntley,46448,QB,BLT,5,70.6,34,37,7.2,3.21,1,1,2.7,56.8,21,0,18,12.5,48,3,14,3,81.5,63.8,64.7,57.6,0,0,48,0,22.2,99.3,8.3,4,7,0,2,3,1,2.1,203,5.5
Blaine Gabbert,6162,QB,KC,2,68.8,32,35,5.9,2.41,2,0,0,51.4,18,0,18,18.2,40,4,10,16,79.8,60.7,54.6,74.8,0,3,41,0,5.6,31.2,2.5,1,4,0,1,0,2,4.9,185,5.3
Jeff Driskel,10841,QB,CLV,1,62.5,24,26,10.7,2.98,1,2,7.7,50,13,0,11,13.3,32,2,11,8,78.7,66.4,58.9,83.4,0,2,32,1,27.3,63.9,9.4,3,3,0,1,2,3,9.4,166,6.4
Carson Wentz,10636,QB,LA,1,87,23,24,6.7,2.49,0,3,10.3,70.8,17,0,9,15,30,3,12,26,80.8,80.7,80.2,68.1,0,1,35,0,22.2,99.8,6.7,2,4,0,1,2,0,0,163,6.8
Cooper Rush,12324,QB,DAL,7,75,24,24,8.4,1.91,0,1,4,75,18,0,6,0,27,0,8,9,79.6,58,54.3,66.2,0,1,28,0,16.7,72.2,3.7,1,1,0,0,0,1,3.6,144,6
Jacoby Brissett,10725,QB,WAS,2,86.4,22,23,9,2.83,0,1,3.7,78.3,18,0,8,5.3,25,1,10,32,77.4,84.6,79.4,75,0,0,29,0,0,146.8,0,0,2,0,1,3,0,0,224,9.7
Marcus Mariota,9435,QB,PHI,2,71.4,21,23,8.1,3.01,2,1,4.3,65.2,15,0,9,0,29,0,12,24,27.4,66.3,55.6,80.7,0,1,29,1,33.3,82.5,10.3,3,3,0,0,1,2,6.9,164,7.1
Clayton Tune,77652,QB,ARZ,2,73.7,19,21,3.2,2.95,2,0,0,57.1,12,0,17,14.3,33,2,4,1,78.8,34.2,28,65.6,0,2,35,0,41.2,22.6,21.2,7,5,0,0,0,3,8.6,62,3
Jaren Hall,82094,QB,MIN,3,68.4,19,20,6.8,3.23,0,0,0,65,13,0,13,0,27,0,7,18,77.2,60.3,64.4,49.7,0,1,27,0,30.8,70.4,14.8,4,3,0,1,0,0,0,168,8.4
Taysom Hill,12112,TE,NO,10,60,10,11,13.8,3.11,1,0,0,54.5,6,0,5,0,16,0,6,20,67.7,75.3,51.6,86.1,0,0,17,0,40,109.3,12.5,2,3,0,0,1,0,0,83,7.5
Mike White,46453,QB,MIA,4,83.3,6,6,3.7,1.67,0,1,16.7,83.3,5,0,0,0,6,0,1,17,73.9,52.5,46.2,60.3,0,1,6,0,,118.1,0,0,0,0,0,1,1,16.7,74,12.3
A.J. McCarron,8799,QB,CIN,2,100,5,5,-1.4,2.55,0,0,0,80,4,0,4,20,6,1,0,7,69.6,59,58.4,,0,0,7,0,25,82.5,16.7,1,0,0,0,0,0,0,19,3.8
Malik Willis,60341,QB,TEN,1,80,5,5,7.6,3.55,0,0,0,80,4,0,6,0,12,0,2,31,74.5,45.9,48.4,52.2,0,0,15,0,66.7,118.8,33.3,4,3,0,0,0,0,0,74,14.8
Logan Woodside,46517,QB,ATL,1,75,4,4,2,2.55,0,0,0,75,3,0,2,0,6,0,3,2,68.9,24.8,24.9,58.3,0,1,6,0,50,53.1,16.7,1,1,0,0,0,1,16.7,27,6.8
Jakobi Meyers,47468,WR,LV,3,100,2,3,10.5,4.55,0,0,0,66.7,2,0,2,0,4,0,2,23,82.1,69.9,80.8,70,0,0,4,6,0,113.9,0,0,1,0,1,1,0,0,12,4
Derrick Henry,10679,HB,TEN,3,66.7,3,3,15.7,2.73,0,0,0,66.7,2,0,0,0,3,0,2,31,91.4,90.1,72.2,86.8,0,0,3,0,,116.7,0,0,0,0,0,2,0,0,14,4.7
Keenan Allen,7857,WR,LAC,2,100,1,2,23,3.35,0,0,0,50,1,0,1,0,2,0,1,27,35.7,86.3,71.4,,0,0,2,1,0,135.4,0,0,0,0,1,1,0,0,49,24.5
Christian Kirk,47546,WR,JAX,2,50,2,2,12.5,3.85,0,0,0,50,1,1,0,0,2,0,0,15,26.7,71.1,52.1,63.3,0,0,2,1,,56.3,0,0,0,0,0,0,0,0,-1,-0.5
Justin Jefferson,61398,WR,MIN,1,0,1,1,22,3.5,0,0,0,0,0,1,1,,1,0,0,18,48.1,91.1,49.2,57.2,0,0,1,1,0,39.6,0,0,0,0,0,0,0,0,0,0
Logan Cooke,29214,P,JAX,1,100,1,1,4,2.4,0,0,0,100,1,0,0,0,1,0,1,15,60.4,70.3,66.9,,0,0,1,0,,118.8,0,0,0,0,0,0,0,0,13,13
Aaron Rodgers,2241,QB,NYJ,1,,0,1,,4.15,0,0,0,0,0,0,2,,2,0,0,22,65.5,39.4,41.1,,0,0,3,0,50,39.6,50,1,0,0,1,0,0,0,0,0
Jalen Reeves-Maybin,11879,LB,DET,1,100,1,1,22,2.1,0,0,0,100,1,0,0,0,1,0,1,11,66.7,71.2,70.7,59.8,0,0,1,0,,118.8,0,0,0,0,0,0,0,0,31,31
Kenneth Gainwell,77737,HB,PHI,1,100,1,1,17,2.6,0,0,0,100,1,0,0,0,1,0,1,24,28.8,55.5,69.7,54.7,0,0,1,0,,118.8,0,0,0,0,0,0,0,0,17,17
Dyami Brown,77986,WR,WAS,1,100,1,1,1,3.7,0,0,0,100,1,0,0,0,1,0,0,32,72.9,59,60,56.2,0,0,1,1,,83.3,0,0,0,0,0,0,0,0,4,4
Jonnu Smith,11855,TE,ATL,1,0,1,1,9,3.3,0,0,0,0,0,2,0,,1,0,0,2,37.5,59.1,56.3,56.9,0,0,1,5,,39.6,0,0,0,0,0,0,0,0,0,0
Chris Godwin,11839,WR,TB,1,0,1,1,18,3.6,0,0,0,0,0,1,0,,1,0,0,30,83,78.2,49.6,70.7,0,0,1,1,,39.6,0,0,0,0,0,0,0,0,0,0
Tyler Boyd,10689,WR,CIN,1,0,1,1,-6,4.4,0,0,0,0,0,0,0,,1,0,0,7,81.5,59.5,57.3,59.1,0,1,1,2,,0,0,0,0,0,0,0,1,100,0,0
Ja'Marr Chase,84270,WR,CIN,1,100,1,1,-7,4.8,0,0,0,100,1,1,0,0,1,0,0,7,58.8,85.3,60,52.8,0,0,1,2,,79.2,0,0,0,0,0,0,0,0,-7,-7
Drake London,86519,WR,ATL,1,100,1,1,12,4,0,0,0,100,1,0,1,0,1,0,1,2,81.4,78.9,69.5,,0,0,1,1,0,118.8,0,0,0,0,0,0,0,0,22,22
Garrett Wilson,97405,WR,NYJ,1,0,1,1,9,2.9,0,0,0,0,0,1,0,,1,0,0,22,32.1,72.9,53.5,62,0,0,1,5,,39.6,0,0,0,0,0,0,0,0,0,0
Jerick McKinnon,8731,HB,KC,1,100,1,1,-4,0.9,0,0,0,100,1,0,0,0,1,0,1,16,80.8,63,60.1,60.6,0,0,1,0,,122.9,0,0,0,0,0,1,0,0,4,4
Dontayvion Wicks,99711,WR,GB,1,100,1,1,9,2.5,0,0,0,100,1,0,0,0,1,0,1,12,22.7,78.4,69.9,59.2,0,0,1,2,,118.8,0,0,0,0,0,0,0,0,14,14
DeAndre Hopkins,7808,WR,TEN,2,0,1,1,-2,6.55,0,0,0,0,0,0,2,,2,0,0,31,82.1,81,59.6,64.5,0,0,2,4,0,39.6,0,0,1,0,0,0,0,0,0,0
Johnny Hekker,7252,P,CAR,1,100,1,1,-4,2.3,0,0,0,100,1,0,0,0,1,0,0,5,60.4,61,60.3,60,0,0,1,0,,95.8,0,0,0,0,0,0,0,0,7,7
Deebo Samuel,48274,WR,SF,1,,0,1,,5.1,0,0,0,0,0,0,1,,1,0,0,28,60.3,83,60,69.5,0,0,1,2,0,39.6,0,0,0,0,1,0,0,0,0,0
Thomas Morstead,5088,P,NYJ,1,100,1,1,9,1.9,0,0,0,100,1,0,0,0,1,0,1,22,60.4,69.8,67.2,,0,0,1,0,,118.8,0,0,0,0,0,0,0,0,18,18
Sean Clifford,51708,QB,GB,1,100,1,1,33,2.6,0,0,0,100,1,0,1,0,1,0,1,12,15.5,56.5,76,44.9,0,0,1,0,0,118.8,0,0,0,0,0,0,0,0,37,37
Connor Heyward,57301,TE,PIT,1,,0,1,,2,1,0,0,0,0,1,0,,1,0,0,25,76.1,55.6,60,59.3,0,0,1,4,,39.6,0,0,0,0,0,0,0,0,0,0
Braden Mann,44664,P,PHI,1,100,1,1,11,2.2,0,0,0,100,1,0,0,0,1,0,1,24,60.4,73.1,68.8,,0,0,1,0,,118.8,0,0,0,0,0,0,0,0,28,28
Devin Singletary,40485,HB,HST,1,100,1,1,12,2.7,0,0,0,100,1,0,1,0,1,0,1,13,83.2,70.8,69.5,75.4,0,0,1,0,0,131.3,0,0,0,0,0,1,0,0,6,6
Kyle Trask,39987,QB,TB,1,0,1,1,12,2.3,0,1,100,0,0,0,0,,1,0,0,30,64.5,86,82.7,60,0,0,1,0,,39.6,0,0,0,0,0,0,0,0,0,0
Tommy Townsend,33007,P,KC,1,100,1,1,12,2,0,0,0,100,1,0,0,0,1,0,1,16,60.4,74.7,68.8,,0,0,1,0,,112.5,0,0,0,0,0,0,0,0,11,11
Kadarius Toney,61245,WR,KC,1,0,1,1,16,4.6,0,0,0,0,0,0,1,,1,0,0,16,38.3,62.5,55.1,62.3,0,0,1,1,0,39.6,0,0,0,0,0,0,0,0,0,0
